sequence,survived,category
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Epee_Legendaire -> Orc -> Couloir -> Gaz_Toxique -> Salle_Vide -> Coffre -> Repas -> Salle_Vide -> Fontaine_Sacree -> Minotaure -> Rat -> Or -> Couloir -> Hydre -> Rat -> Salle_Vide -> Or -> Escalier -> Salle_Vide -> Zombie -> Coffre -> Couloir -> Inscription -> Zombie -> Zombie -> Couloir -> Fontaine_Sacree -> Escalier -> Gemmes -> Dragon -> Hydre -> Inscription -> Salle_Vide -> Escalier -> Or -> Coffre -> Orc -> Gaz_Toxique -> Escalier -> Or -> Minotaure -> Fontaine_Sacree -> Or -> Minotaure -> Gaz_Toxique -> Rat -> Or -> Or -> Gemmes -> Zombie -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Orc -> Inscription -> Orc -> Inscription -> Salle_Vide -> Gemmes -> Piege_a_Pics -> Zombie -> Salle_Vide -> Or -> Piege_a_Pics -> Orc -> Salle_Vide -> Zombie -> Coffre -> Coffre -> Orc -> Salle_Vide -> Fosse -> Escalier -> Fosse -> Demon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Escalier -> Orc -> Coffre -> Salle_Vide -> Zombie -> Couloir -> Gobelin -> Demon -> Salle_Vide -> Zombie -> Orc -> Liche -> Grande_Potion -> Gobelin -> Or -> Salle_Vide -> Escalier -> Salle_Vide -> Orc -> Salle_Vide -> Gemmes -> Gobelin -> Gemmes -> Gemmes -> Gobelin -> Escalier -> Piege_a_Pics -> Potion -> Salle_Vide -> Liche -> Couloir -> Grande_Potion -> Gemmes -> Fontaine_Sacree -> Grande_Potion -> Minotaure -> Grande_Potion -> Troll -> Gemmes -> Orc -> Couloir -> Or -> Couloir -> Gemmes -> Inscription -> Dragon -> Orc -> Escalier -> Coffre -> Dragon -> Sortie,0,synthetic
Entree -> Fontaine_Sacree -> Salle_Vide -> Coffre -> Gaz_Toxique -> Inscription -> Escalier -> Gemmes -> Salle_Vide -> Minotaure -> Potion -> Grande_Potion -> Rat -> Troll -> Gaz_Toxique -> Fosse -> Inscription -> Liche -> Minotaure -> Gobelin -> Couloir -> Inscription -> Couloir -> Salle_Vide -> Salle_Vide -> Inscription -> Demon -> Piege_a_Pics -> Rat -> Liche -> Troll -> Coffre -> Sortie,0,synthetic
Entree -> Hydre -> Zombie -> Piege_a_Pics -> Hydre -> Gobelin -> Grande_Potion -> Couloir -> Gemmes -> Gobelin -> Gaz_Toxique -> Escalier -> Minotaure -> Coffre -> Escalier -> Coffre -> Gemmes -> Fontaine_Sacree -> Inscription -> Orc -> Couloir -> Minotaure -> Gemmes -> Orc -> Fosse -> Minotaure -> Inscription -> Piege_a_Pics -> Fosse -> Gemmes -> Or -> Couloir -> Gemmes -> Inscription -> Escalier -> Zombie -> Coffre -> Gaz_Toxique -> Couloir -> Rat -> Or -> Gobelin -> Rat -> Gaz_Toxique -> Coffre -> Gaz_Toxique -> Orc -> Potion -> Repas -> Demon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Escalier -> Couloir -> Grande_Potion -> Or -> Couloir -> Or -> Gobelin -> Escalier -> Fosse -> Troll -> Orc -> Liche -> Piege_a_Pics -> Gobelin -> Salle_Vide -> Orc -> Repas -> Escalier -> Troll -> Inscription -> Couloir -> Inscription -> Or -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Inscription -> Gobelin -> Zombie -> Zombie -> Or -> Rat -> Coffre -> Inscription -> Or -> Fosse -> Couloir -> Coffre -> Couloir -> Couloir -> Gemmes -> Fontaine_Sacree -> Rat -> Piege_a_Pics -> Coffre -> Gemmes -> Troll -> Salle_Vide -> Inscription -> Rat -> Inscription -> Piege_a_Pics -> Piege_a_Pics -> Gemmes -> Zombie -> Gaz_Toxique -> Coffre -> Couloir -> Grande_Potion -> Liche -> Zombie -> Troll -> Or -> Zombie -> Couloir -> Escalier -> Rat -> Repas -> Salle_Vide -> Repas -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Gemmes -> Demon -> Gemmes -> Inscription -> Escalier -> Fosse -> Orc -> Orc -> Orc -> Salle_Vide -> Escalier -> Or -> Piege_a_Pics -> Gobelin -> Escalier -> Coffre -> Or -> Coffre -> Coffre -> Gemmes -> Salle_Vide -> Hydre -> Inscription -> Salle_Vide -> Zombie -> Couloir -> Gaz_Toxique -> Orc -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Fontaine_Sacree -> Orc -> Escalier -> Orc -> Or -> Repas -> Grande_Potion -> Couloir -> Inscription -> Inscription -> Coffre -> Rat -> Inscription -> Zombie -> Couloir -> Inscription -> Liche -> Rat -> Inscription -> Coffre -> Gemmes -> Fontaine_Sacree -> Rat -> Gobelin -> Grande_Potion -> Repas -> Salle_Vide -> Gemmes -> Zombie -> Inscription -> Orc -> Orc -> Couloir -> Orc -> Inscription -> Gobelin -> Escalier -> Or -> Coffre -> Dragon -> Sortie,0,synthetic
Epee_Legendaire -> Or -> Salle_Vide -> Grande_Potion -> Salle_Vide -> Couloir -> Grande_Potion -> Minotaure -> Orc -> Gemmes -> Potion -> Or -> Inscription -> Rat -> Salle_Vide -> Couloir -> Or -> Escalier -> Escalier -> Fontaine_Sacree -> Rat -> Repas -> Salle_Vide -> Coffre -> Hydre -> Salle_Vide -> Coffre -> Gemmes -> Salle_Vide -> Zombie -> Inscription -> Zombie -> Escalier -> Minotaure -> Inscription -> Potion -> Repas,1,synthetic
Entree -> Minotaure -> Or -> Gobelin -> Troll -> Escalier -> Or -> Inscription -> Coffre -> Escalier -> Inscription -> Couloir -> Couloir -> Repas -> Coffre -> Fosse -> Troll -> Or -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Dragon -> Coffre -> Repas -> Gemmes -> Orc -> Couloir -> Dragon -> Gobelin -> Gaz_Toxique -> Coffre -> Orc -> Troll -> Gobelin -> Inscription -> Gaz_Toxique -> Dragon -> Gemmes -> Gobelin -> Dragon -> Inscription -> Or -> Potion -> Grande_Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Fosse -> Gobelin -> Rat -> Gobelin -> Or -> Fosse -> Repas -> Piege_a_Pics -> Escalier -> Hydre -> Gaz_Toxique -> Liche -> Fontaine_Sacree -> Rat -> Escalier -> Rat -> Salle_Vide -> Fosse -> Rat -> Couloir -> Escalier -> Or -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Rat -> Salle_Vide -> Fontaine_Sacree -> Fosse -> Escalier -> Inscription -> Gemmes -> Gaz_Toxique -> Or -> Couloir -> Zombie -> Escalier -> Zombie -> Liche -> Dragon -> Inscription -> Escalier -> Potion -> Demon -> Sortie,0,synthetic
Entree -> Couloir -> Inscription -> Minotaure -> Salle_Vide -> Escalier -> Repas -> Gemmes -> Or -> Potion -> Rat -> Couloir -> Troll -> Gaz_Toxique -> Salle_Vide -> Liche -> Inscription -> Piege_a_Pics -> Zombie -> Gemmes -> Minotaure -> Couloir -> Grande_Potion -> Gemmes -> Couloir -> Zombie -> Coffre -> Coffre -> Rat -> Gobelin -> Couloir -> Orc -> Demon -> Rat -> Fosse -> Couloir -> Inscription -> Orc -> Couloir -> Escalier -> Escalier -> Potion -> Inscription -> Orc -> Liche -> Escalier -> Dragon -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Piege_a_Pics -> Rat -> Gaz_Toxique -> Fontaine_Sacree -> Rat -> Grande_Potion -> Escalier -> Demon -> Rat -> Hydre -> Repas -> Hydre -> Or -> Minotaure -> Fosse -> Gaz_Toxique -> Couloir -> Coffre -> Or -> Salle_Vide -> Couloir -> Or -> Piege_a_Pics -> Orc -> Couloir -> Inscription -> Coffre -> Salle_Vide -> Or -> Grande_Potion -> Escalier -> Gemmes -> Demon -> Zombie -> Gemmes -> Or -> Fosse -> Zombie -> Salle_Vide -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Demon -> Zombie -> Rat -> Gobelin -> Escalier -> Hydre -> Potion -> Hydre -> Couloir -> Grande_Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Epee_Legendaire -> Fosse -> Repas -> Orc -> Escalier -> Zombie -> Gobelin -> Piege_a_Pics -> Minotaure -> Escalier -> Gobelin -> Liche -> Couloir -> Dragon -> Escalier -> Gobelin -> Couloir -> Escalier -> Inscription -> Minotaure -> Salle_Vide -> Minotaure -> Fosse -> Piege_a_Pics -> Zombie -> Or -> Hydre -> Fontaine_Sacree -> Demon -> Couloir -> Escalier -> Fosse -> Coffre -> Or -> Minotaure -> Minotaure -> Escalier -> Zombie -> Fontaine_Sacree -> Salle_Vide -> Piege_a_Pics -> Potion -> Gobelin -> Gaz_Toxique -> Coffre -> Potion -> Rat -> Liche -> Sortie,0,synthetic
Entree -> Hydre -> Zombie -> Zombie -> Rat -> Fosse -> Orc -> Salle_Vide -> Or -> Escalier -> Coffre -> Coffre -> Orc -> Gemmes -> Orc -> Couloir -> Escalier -> Rat -> Zombie -> Repas -> Minotaure -> Coffre -> Salle_Vide -> Couloir -> Inscription -> Orc -> Fontaine_Sacree -> Coffre -> Coffre -> Grande_Potion -> Hydre -> Salle_Vide -> Gaz_Toxique -> Gemmes -> Inscription -> Coffre -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Salle_Vide -> Gobelin -> Piege_a_Pics -> Zombie -> Rat -> Escalier -> Couloir -> Gemmes -> Couloir -> Fosse -> Couloir -> Salle_Vide -> Inscription -> Salle_Vide -> Liche -> Minotaure -> Or -> Salle_Vide -> Gaz_Toxique -> Couloir -> Or -> Escalier -> Escalier -> Couloir -> Repas -> Zombie -> Zombie -> Escalier -> Or -> Minotaure -> Fosse -> Gaz_Toxique -> Fosse -> Salle_Vide -> Salle_Vide -> Gaz_Toxique -> Escalier -> Escalier -> Rat -> Gobelin -> Gobelin -> Orc -> Salle_Vide -> Potion -> Escalier -> Fontaine_Sacree -> Inscription -> Inscription -> Hydre -> Demon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Gemmes -> Or -> Rat -> Salle_Vide -> Couloir -> Couloir -> Or -> Coffre -> Couloir -> Rat -> Zombie -> Gemmes -> Coffre -> Zombie -> Rat -> Potion -> Escalier -> Repas -> Orc -> Or -> Fosse -> Grande_Potion -> Rat -> Hydre -> Salle_Vide -> Inscription -> Escalier -> Escalier -> Gemmes -> Salle_Vide -> Gobelin -> Inscription -> Zombie -> Salle_Vide -> Gemmes -> Zombie -> Couloir -> Hydre -> Piege_a_Pics -> Fontaine_Sacree -> Couloir -> Orc -> Or -> Zombie -> Gemmes -> Zombie -> Zombie -> Or -> Piege_a_Pics -> Zombie -> Sortie,0,synthetic
Entree -> Fosse -> Grande_Potion -> Gemmes -> Gemmes -> Inscription -> Zombie -> Gemmes -> Gemmes -> Escalier -> Fontaine_Sacree -> Or -> Gaz_Toxique -> Orc -> Couloir -> Escalier -> Fosse -> Escalier -> Fontaine_Sacree -> Piege_a_Pics -> Gemmes -> Rat -> Fontaine_Sacree -> Couloir -> Gemmes -> Orc -> Gemmes -> Or -> Gobelin -> Rat -> Couloir -> Rat -> Piege_a_Pics -> Escalier -> Zombie -> Escalier -> Rat -> Dragon -> Fosse -> Gobelin -> Or -> Or -> Repas -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Piege_a_Pics -> Inscription -> Or -> Coffre -> Inscription -> Zombie -> Or -> Escalier -> Or -> Inscription -> Escalier -> Inscription -> Rat -> Gobelin -> Escalier -> Rat -> Escalier -> Rat -> Gobelin -> Escalier -> Rat -> Orc -> Escalier -> Salle_Vide -> Inscription -> Dragon -> Dragon -> Coffre -> Zombie -> Escalier -> Zombie -> Escalier -> Demon -> Hydre -> Gobelin -> Salle_Vide -> Minotaure -> Repas -> Gemmes -> Gemmes -> Coffre -> Troll -> Piege_a_Pics -> Minotaure -> Repas -> Sortie,0,synthetic
Entree -> Grande_Potion -> Liche -> Couloir -> Gaz_Toxique -> Piege_a_Pics -> Fosse -> Grande_Potion -> Liche -> Coffre -> Inscription -> Escalier -> Coffre -> Salle_Vide -> Couloir -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Couloir -> Gaz_Toxique -> Troll -> Fontaine_Sacree -> Rat -> Salle_Vide -> Gobelin -> Coffre -> Rat -> Demon -> Fosse -> Escalier -> Rat -> Demon -> Escalier -> Rat -> Salle_Vide -> Gobelin -> Fontaine_Sacree -> Coffre -> Fontaine_Sacree -> Gobelin -> Coffre -> Fontaine_Sacree -> Fontaine_Sacree -> Orc -> Inscription -> Gemmes -> Zombie -> Or -> Coffre -> Orc -> Fontaine_Sacree -> Fontaine_Sacree -> Couloir -> Rat -> Gemmes -> Sortie,0,synthetic
Entree -> Demon -> Salle_Vide -> Rat -> Zombie -> Inscription -> Couloir -> Piege_a_Pics -> Hydre -> Coffre -> Or -> Dragon -> Sortie,0,synthetic
Entree -> Rat -> Dragon -> Zombie -> Fosse -> Potion -> Gemmes -> Gaz_Toxique -> Fontaine_Sacree -> Coffre -> Demon -> Or -> Couloir -> Gemmes -> Demon -> Gobelin -> Zombie -> Salle_Vide -> Repas -> Zombie -> Or -> Zombie -> Couloir -> Liche -> Gaz_Toxique -> Couloir -> Couloir -> Couloir -> Fontaine_Sacree -> Inscription -> Liche -> Zombie -> Dragon -> Escalier -> Repas -> Fosse -> Coffre -> Gemmes -> Zombie -> Demon -> Salle_Vide -> Liche -> Dragon -> Sortie,0,synthetic
Entree -> Inscription -> Salle_Vide -> Gemmes -> Minotaure -> Salle_Vide -> Or -> Coffre -> Dragon -> Zombie -> Or -> Rat -> Gemmes -> Gobelin -> Couloir -> Couloir -> Or -> Gobelin -> Gobelin -> Salle_Vide -> Couloir -> Gaz_Toxique -> Liche -> Or -> Demon -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Epee_Legendaire -> Inscription -> Salle_Vide -> Coffre -> Orc -> Couloir -> Orc -> Coffre -> Fontaine_Sacree -> Inscription -> Couloir -> Couloir -> Gobelin -> Salle_Vide -> Zombie -> Gobelin -> Couloir -> Salle_Vide -> Fosse -> Demon -> Repas -> Salle_Vide -> Repas -> Couloir -> Orc -> Dragon -> Demon -> Or -> Salle_Vide -> Zombie -> Gemmes -> Repas -> Or -> Salle_Vide -> Couloir -> Orc -> Demon -> Sortie,1,synthetic
Entree -> Fosse -> Or -> Repas -> Salle_Vide -> Or -> Couloir -> Gaz_Toxique -> Zombie -> Or -> Rat -> Coffre -> Gemmes -> Fosse -> Gobelin -> Zombie -> Liche -> Potion -> Salle_Vide -> Gaz_Toxique -> Gemmes -> Zombie -> Or -> Potion -> Inscription -> Coffre -> Dragon -> Or -> Fosse -> Liche -> Couloir -> Gemmes -> Orc -> Piege_a_Pics -> Zombie -> Inscription -> Inscription -> Piege_a_Pics -> Gemmes -> Gobelin -> Inscription -> Orc -> Couloir -> Inscription -> Piege_a_Pics -> Zombie -> Rat -> Or -> Sortie,0,synthetic
Entree -> Couloir -> Liche -> Escalier -> Coffre -> Demon -> Inscription -> Coffre -> Orc -> Inscription -> Orc -> Fontaine_Sacree -> Repas -> Escalier -> Rat -> Gemmes -> Zombie -> Demon -> Or -> Coffre -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Liche -> Dragon -> Potion -> Salle_Vide -> Dragon -> Salle_Vide -> Fontaine_Sacree -> Gaz_Toxique -> Rat -> Or -> Escalier -> Inscription -> Orc -> Escalier -> Gemmes -> Grande_Potion -> Grande_Potion -> Gemmes -> Couloir -> Couloir -> Inscription -> Inscription -> Couloir -> Salle_Vide -> Gemmes -> Escalier -> Coffre -> Gemmes -> Gaz_Toxique -> Orc -> Rat -> Rat -> Zombie -> Or -> Salle_Vide -> Repas -> Orc -> Orc -> Gemmes -> Troll -> Rat -> Gemmes -> Coffre -> Hydre -> Couloir -> Demon -> Piege_a_Pics -> Fontaine_Sacree -> Inscription -> Demon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Escalier -> Potion -> Inscription -> Inscription -> Inscription -> Inscription -> Salle_Vide -> Gobelin -> Salle_Vide -> Escalier -> Salle_Vide -> Or -> Escalier -> Coffre -> Gemmes -> Couloir -> Gaz_Toxique -> Salle_Vide -> Gemmes -> Gobelin -> Salle_Vide -> Zombie -> Minotaure -> Orc -> Escalier -> Gaz_Toxique -> Couloir -> Gemmes -> Couloir -> Repas -> Inscription -> Couloir -> Couloir -> Gobelin -> Grande_Potion -> Liche -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Amulette_Protection -> Minotaure -> Or -> Rat -> Rat -> Salle_Vide -> Salle_Vide -> Salle_Vide -> Salle_Vide -> Or -> Gaz_Toxique -> Gaz_Toxique -> Orc -> Salle_Vide -> Couloir -> Gemmes -> Coffre -> Salle_Vide -> Liche -> Zombie -> Fontaine_Sacree -> Or -> Fosse -> Gemmes -> Liche -> Salle_Vide -> Gemmes -> Or -> Gemmes -> Couloir -> Repas -> Couloir -> Grande_Potion -> Or -> Coffre -> Coffre -> Inscription -> Repas -> Salle_Vide -> Zombie -> Salle_Vide -> Gobelin -> Gemmes -> Salle_Vide -> Minotaure -> Rat -> Rat -> Zombie -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Minotaure -> Salle_Vide -> Demon -> Orc -> Gobelin -> Coffre -> Liche -> Couloir -> Liche -> Couloir -> Zombie -> Coffre -> Salle_Vide -> Or -> Escalier -> Grande_Potion -> Repas -> Coffre -> Or -> Hydre -> Fontaine_Sacree -> Escalier -> Salle_Vide -> Orc -> Gobelin -> Coffre -> Salle_Vide -> Gemmes -> Repas -> Inscription -> Potion -> Or -> Salle_Vide -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Gemmes -> Salle_Vide -> Coffre -> Gemmes -> Couloir -> Grande_Potion -> Gemmes -> Salle_Vide -> Or -> Minotaure -> Salle_Vide -> Inscription -> Or -> Inscription -> Orc -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Salle_Vide -> Rat -> Dragon -> Demon -> Demon -> Inscription -> Zombie -> Couloir -> Orc -> Couloir -> Inscription -> Salle_Vide -> Escalier -> Escalier -> Escalier -> Zombie -> Potion -> Demon -> Couloir -> Rat -> Minotaure -> Rat -> Dragon -> Potion -> Potion -> Orc -> Dragon -> Gaz_Toxique -> Potion -> Inscription -> Liche -> Troll -> Salle_Vide -> Fosse -> Gobelin -> Gemmes -> Couloir -> Salle_Vide -> Gemmes -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Salle_Vide -> Or -> Couloir -> Escalier -> Grande_Potion -> Gobelin -> Gemmes -> Fontaine_Sacree -> Rat -> Gemmes -> Gobelin -> Rat -> Gemmes -> Zombie -> Zombie -> Hydre -> Salle_Vide -> Gobelin -> Piege_a_Pics -> Coffre -> Coffre -> Escalier -> Or -> Gobelin -> Zombie -> Dragon -> Hydre -> Gemmes -> Or -> Repas -> Couloir -> Couloir -> Escalier -> Gemmes -> Gemmes -> Zombie -> Salle_Vide -> Escalier -> Escalier -> Fosse -> Or -> Orc -> Orc -> Inscription -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Couloir -> Coffre -> Gaz_Toxique -> Gemmes -> Grande_Potion -> Salle_Vide -> Escalier -> Couloir -> Gobelin -> Orc -> Inscription -> Piege_a_Pics -> Orc -> Repas -> Demon -> Rat -> Gobelin -> Salle_Vide -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Troll -> Gobelin -> Couloir -> Demon -> Salle_Vide -> Orc -> Potion -> Couloir -> Orc -> Fontaine_Sacree -> Grande_Potion -> Demon -> Inscription -> Gemmes -> Couloir -> Couloir -> Coffre -> Dragon -> Coffre -> Grande_Potion -> Rat -> Salle_Vide -> Coffre -> Salle_Vide -> Demon -> Salle_Vide -> Rat -> Liche -> Grande_Potion -> Rat -> Couloir -> Liche -> Piege_a_Pics -> Gemmes -> Orc -> Gaz_Toxique -> Repas -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Fontaine_Sacree -> Coffre -> Zombie -> Fosse -> Rat -> Repas -> Gemmes -> Gaz_Toxique -> Fontaine_Sacree -> Orc -> Coffre -> Gaz_Toxique -> Gobelin -> Gemmes -> Coffre -> Coffre -> Repas -> Or -> Orc -> Coffre -> Dragon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Gemmes -> Escalier -> Couloir -> Zombie -> Troll -> Grande_Potion -> Fosse -> Escalier -> Couloir -> Rat -> Gemmes -> Escalier -> Demon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Amulette_Protection -> Epee_Legendaire -> Escalier -> Zombie -> Gobelin -> Gemmes -> Gemmes -> Inscription -> Dragon -> Couloir -> Gaz_Toxique -> Fontaine_Sacree -> Inscription -> Demon -> Minotaure -> Orc -> Coffre -> Inscription -> Or -> Or -> Gobelin -> Escalier -> Dragon -> Coffre -> Gemmes -> Inscription,1,synthetic
Entree -> Zombie -> Rat -> Coffre -> Coffre -> Escalier -> Or -> Couloir -> Couloir -> Orc -> Demon -> Demon -> Inscription -> Escalier -> Repas -> Repas -> Inscription -> Coffre -> Liche -> Piege_a_Pics -> Escalier -> Fosse -> Gaz_Toxique -> Dragon -> Sortie,0,synthetic
Entree -> Rat -> Gemmes -> Piege_a_Pics -> Zombie -> Escalier -> Gobelin -> Gaz_Toxique -> Hydre -> Orc -> Fosse -> Salle_Vide -> Inscription -> Demon -> Troll -> Gobelin -> Inscription -> Gobelin -> Piege_a_Pics -> Salle_Vide -> Dragon -> Or -> Or -> Orc -> Gaz_Toxique -> Orc -> Troll -> Or -> Inscription -> Orc -> Gaz_Toxique -> Salle_Vide -> Inscription -> Gemmes -> Escalier -> Minotaure -> Escalier -> Troll -> Escalier -> Coffre -> Gemmes -> Coffre -> Gobelin -> Couloir -> Gemmes -> Demon -> Sortie,0,synthetic
Entree -> Coffre -> Fontaine_Sacree -> Gemmes -> Potion -> Gemmes -> Troll -> Orc -> Salle_Vide -> Repas -> Gemmes -> Salle_Vide -> Or -> Gaz_Toxique -> Rat -> Gemmes -> Potion -> Grande_Potion -> Couloir -> Inscription -> Troll -> Piege_a_Pics -> Escalier -> Orc -> Minotaure -> Escalier -> Orc -> Coffre -> Gaz_Toxique -> Gemmes -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Escalier -> Fosse -> Piege_a_Pics -> Piege_a_Pics -> Salle_Vide -> Rat -> Or -> Inscription -> Repas -> Zombie -> Couloir -> Orc -> Couloir -> Inscription -> Couloir -> Gemmes -> Gaz_Toxique -> Couloir -> Inscription -> Gaz_Toxique -> Rat -> Zombie -> Orc -> Or -> Inscription -> Zombie -> Rat -> Troll -> Rat -> Coffre -> Salle_Vide -> Minotaure -> Or -> Couloir -> Grande_Potion -> Couloir -> Rat -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Rat -> Potion -> Or -> Fosse -> Salle_Vide -> Zombie -> Salle_Vide -> Gaz_Toxique -> Gemmes -> Repas -> Salle_Vide -> Piege_a_Pics -> Rat -> Dragon -> Liche -> Escalier -> Inscription -> Gemmes -> Zombie -> Salle_Vide -> Gemmes -> Demon -> Couloir -> Demon -> Potion -> Inscription -> Inscription -> Demon -> Potion -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Inscription -> Zombie -> Rat -> Fosse -> Salle_Vide -> Escalier -> Zombie -> Salle_Vide -> Fosse -> Hydre -> Troll -> Gemmes -> Minotaure -> Gaz_Toxique -> Troll -> Piege_a_Pics -> Or -> Inscription -> Fosse -> Coffre -> Inscription -> Dragon -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Fontaine_Sacree -> Couloir -> Inscription -> Troll -> Salle_Vide -> Fontaine_Sacree -> Zombie -> Gobelin -> Inscription -> Minotaure -> Zombie -> Or -> Orc -> Demon -> Or -> Zombie -> Gaz_Toxique -> Orc -> Fosse -> Salle_Vide -> Gobelin -> Rat -> Or -> Gemmes -> Coffre -> Escalier -> Liche -> Gemmes -> Salle_Vide -> Minotaure -> Gaz_Toxique -> Fontaine_Sacree -> Coffre -> Gemmes -> Salle_Vide -> Repas -> Troll -> Dragon -> Sortie,0,synthetic
Entree -> Grande_Potion -> Inscription -> Inscription -> Fosse -> Or -> Gobelin -> Grande_Potion -> Gobelin -> Gaz_Toxique -> Salle_Vide -> Troll -> Coffre -> Orc -> Inscription -> Couloir -> Coffre -> Piege_a_Pics -> Coffre -> Zombie -> Inscription -> Orc -> Salle_Vide -> Zombie -> Inscription -> Escalier -> Gobelin -> Zombie -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Epee_Legendaire -> Gemmes -> Piege_a_Pics -> Couloir -> Fontaine_Sacree -> Or -> Liche -> Couloir -> Zombie -> Salle_Vide -> Orc -> Couloir -> Escalier -> Inscription -> Orc -> Inscription -> Or -> Piege_a_Pics -> Escalier -> Salle_Vide -> Gobelin -> Or -> Dragon -> Sortie,1,synthetic
